,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Seconds
17989,2.7868945497863002,1269.0617219629587,249.17187994301344,11.905507899002735,1046.3238309672327,157.64101896153406,821.3171879943013,114.53086098147936,1655.0968720341918,1131.1433728447116,14.415859399715067,49.192499209117855,0.8023716287370527,68400
23346,1.6809848734555326,1233.0068234256619,155.35019320196872,9.965663022369313,976.804361242023,91.65663022369313,785.7729159799728,95.03693275458247,1661.3926134490835,1280.092999853021,18.082215965274948,54.47907143906993,1.117724784181704,82800
6395,0.7,880.0,-200.0,2.4,610.0,101.0,2095.0,59.0,1150.0,711.0,12.0,78.0,1.094,18000
12456,2.0797956764118077,1317.7142104392292,100.0,8.912447931117834,936.1836277666748,144.6305958456892,926.4020695821517,119.85508833000245,1583.3632217541253,1412.2468100013955,16.192243607529644,51.28959530476409,0.9325532467830818,77502
8196,0.4,850.0,-200.0,1.3,529.0,64.0,1183.0,56.0,780.0,385.0,6.1,40.8,0.3868,21600
9561,1.2612981222511703,1063.0705269225864,100.0,5.365625196421737,781.5785342029989,89.15465050813488,1023.712334354583,73.47356026089965,1436.0336620052105,976.6242228425673,11.826923318672907,63.021393581066555,0.8698927118034506,8749
14620,2.0135937481444626,1297.1180549782773,100.0,8.625572908626005,923.6788190939541,140.1435762631247,934.2727432761584,116.10364572818621,1571.4468746660032,1377.0126726235528,15.839166656770468,52.23848960992937,0.9274851213857261,71941
20856,6.17193818309998,1696.9821635915007,790.5260399577006,27.142092725350032,1482.2102254084007,299.965756493098,560.4561236338001,150.3683709014001,2287.509156422599,1543.0858469856043,15.998168715480183,69.83538695497928,1.2175969567986689,68400
10387,1.813885793604045,1234.9866913434805,100.0,7.760171772284194,885.9562054585418,126.6078148998297,958.0158000937413,104.78686163756254,1535.499442848728,1270.7236612625973,14.774057565888238,55.10097029167536,0.9121963679770208,55166
14786,1.340292627776825,1087.6465953083457,100.0,5.707934720366242,796.499718580067,94.50872254931815,1014.3207653643108,77.9499155740201,1450.2526729998285,1018.6668541167769,12.248227348143068,61.8891390018655,0.8759401800598036,15384
13712,1.9746329795336093,1284.9969269660119,100.0,8.456742911312308,916.3195628007928,137.50290194616684,938.9047457665598,113.89586884023785,1564.4339363160498,1356.2768857739986,15.631375890845916,52.7969272933516,0.9245024580998508,68669
14431,1.6937192967555268,1197.6015589906083,100.0,7.239450285940616,863.258089387155,118.46319678009681,972.3022613857319,97.9774268161465,1513.869473415995,1206.7683812732191,14.133169582696143,56.82335674650412,0.9029969550516176,45072
28531,1.7896824300116427,1229.5879328948588,85.59788286674429,8.779364860023286,931.5767115341871,136.33465078389605,919.5337331746798,108.64417788354679,1551.7830629339542,1330.516514193811,15.380423426651143,52.952314750840124,0.9213229568000834,0
13640,1.4415058121471918,1119.135141556904,100.0,6.146525185971164,815.6177645166918,101.36872726775411,1002.2876423336116,83.68532935500753,1468.4710461864945,1072.534760020561,12.788030998118355,60.43841669255692,0.8836886116188238,23886
25623,1.309158989273143,940.5253488440687,64.45794946365716,4.371774150175997,731.7643984742169,84.19066860550859,1269.2373255779655,74.73271914185145,1226.5103712039772,479.4038036711544,19.256624104866265,28.349771022738373,0.5900281773450451,57600
25621,0.7,830.8548964958088,-200.0,1.4,534.1337930870026,135.57599990461497,1190.2902070083824,95.08165511320928,763.8888277473748,485.95917244339535,4.395917244339535,37.4424000095385,0.3168586760048176,25200
30601,2.063783403217135,1286.3891232243034,88.08110645219098,8.52756680643427,920.7405062895422,151.30801677211247,1081.5459446773905,117.37294887041857,1585.2484761251012,925.1134551599607,14.475152387489867,56.7339896114349,0.8209068680770235,54000
27656,1.1,969.3468675339223,61.75880613944747,3.9723581581657577,708.4796986991166,76.0691046045856,1225.5555258586733,62.620596930276264,1355.0325355358016,803.2073138137569,7.824119386055252,67.64119386055253,0.7182074749920503,21600
12667,1.4907209229200742,1134.446509352912,100.0,6.3597906659869885,824.9139521071252,104.70441810902726,996.4365124972801,86.47418563213755,1477.3297661256133,1098.7281356430174,13.050511588907064,59.73300010481226,0.8874563017657702,28020
3053,1.9,1010.0,-200.0,10.8,1006.0,102.0,779.0,100.0,1589.0,1000.0,24.5,35.7,1.0807,82800
27198,1.3985858440410937,971.7919273369876,91.05656623835625,5.505656623835625,786.3252558705484,92.19798183424687,1128.321205139725,78.14141559589062,1274.4040651301407,548.6444716431547,16.458989477191718,29.3393974301375,0.5445638791528142,43200
12854,1.2954245984180135,1073.68765284116,100.0,5.513506593144726,788.024646367847,91.46766722610982,1019.6550755214139,75.4073939103541,1442.1764277152424,994.7870918246983,12.00893119156274,62.532247422675134,0.8725052831455568,11615
